parking_id,recorded_at,occupied_slots,total_slots
1,2026-03-16T07:00:00+03:00,3,10
1,2026-03-16T08:00:00+03:00,8,10
1,2026-03-16T09:00:00+03:00,7,10
1,2026-03-16T10:00:00+03:00,5,10
1,2026-03-16T11:00:00+03:00,2,10
1,2026-03-16T12:00:00+03:00,8,10
1,2026-03-16T13:00:00+03:00,8,10
1,2026-03-16T14:00:00+03:00,8,10
1,2026-03-16T15:00:00+03:00,5,10
1,2026-03-16T16:00:00+03:00,5,10
1,2026-03-16T17:00:00+03:00,6,10
1,2026-03-16T18:00:00+03:00,8,10
1,2026-03-16T19:00:00+03:00,0,10
1,2026-03-16T20:00:00+03:00,6,10
1,2026-03-16T21:00:00+03:00,5,10
1,2026-03-16T22:00:00+03:00,0,10
1,2026-03-17T07:00:00+03:00,2,10
1,2026-03-17T08:00:00+03:00,7,10
1,2026-03-17T09:00:00+03:00,8,10
1,2026-03-17T10:00:00+03:00,5,10
1,2026-03-17T11:00:00+03:00,9,10
1,2026-03-17T12:00:00+03:00,10,10
1,2026-03-17T13:00:00+03:00,9,10
1,2026-03-17T14:00:00+03:00,10,10
1,2026-03-17T15:00:00+03:00,9,10
1,2026-03-17T16:00:00+03:00,8,10
1,2026-03-17T17:00:00+03:00,7,10
1,2026-03-17T18:00:00+03:00,6,10
1,2026-03-17T19:00:00+03:00,4,10
1,2026-03-17T20:00:00+03:00,5,10
1,2026-03-17T21:00:00+03:00,4,10
1,2026-03-17T22:00:00+03:00,4,10
1,2026-03-18T07:00:00+03:00,1,10
1,2026-03-18T08:00:00+03:00,5,10
1,2026-03-18T09:00:00+03:00,0,10
1,2026-03-18T10:00:00+03:00,8,10
1,2026-03-18T11:00:00+03:00,9,10
1,2026-03-18T12:00:00+03:00,10,10
1,2026-03-18T13:00:00+03:00,10,10
1,2026-03-18T14:00:00+03:00,8,10
1,2026-03-18T15:00:00+03:00,6,10
1,2026-03-18T16:00:00+03:00,9,10
1,2026-03-18T17:00:00+03:00,5,10
1,2026-03-18T18:00:00+03:00,2,10
1,2026-03-18T19:00:00+03:00,5,10
1,2026-03-18T20:00:00+03:00,6,10
1,2026-03-18T21:00:00+03:00,5,10
1,2026-03-18T22:00:00+03:00,2,10
1,2026-03-19T07:00:00+03:00,5,10
1,2026-03-19T08:00:00+03:00,7,10
1,2026-03-19T09:00:00+03:00,5,10
1,2026-03-19T10:00:00+03:00,5,10
1,2026-03-19T11:00:00+03:00,7,10
1,2026-03-19T12:00:00+03:00,2,10
1,2026-03-19T13:00:00+03:00,6,10
1,2026-03-19T14:00:00+03:00,9,10
1,2026-03-19T15:00:00+03:00,8,10
1,2026-03-19T16:00:00+03:00,6,10
1,2026-03-19T17:00:00+03:00,7,10
1,2026-03-19T18:00:00+03:00,4,10
1,2026-03-19T19:00:00+03:00,2,10
1,2026-03-19T20:00:00+03:00,2,10
1,2026-03-19T21:00:00+03:00,6,10
1,2026-03-19T22:00:00+03:00,3,10
1,2026-03-20T07:00:00+03:00,4,10
1,2026-03-20T08:00:00+03:00,5,10
1,2026-03-20T09:00:00+03:00,6,10
1,2026-03-20T10:00:00+03:00,7,10
1,2026-03-20T11:00:00+03:00,3,10
1,2026-03-20T12:00:00+03:00,9,10
1,2026-03-20T13:00:00+03:00,7,10
1,2026-03-20T14:00:00+03:00,9,10
1,2026-03-20T15:00:00+03:00,4,10
1,2026-03-20T16:00:00+03:00,5,10
